activation,metric,in_expert,inter_expert,delta
1,mean,-0.0005500770639628172,0.00046205790073372555,-0.0010121349646965427
1,max_mean,0.1325719803571701,0.26230740547180176,-0.12973542511463165
1,max_mean_ratio,0.005208333333333333,0.0050048828125,0.00020345052083333304
2,mean,0.002597896576844505,0.0004274473437533288,0.002170449233091176
2,max_mean,0.16090144217014313,0.17851829528808594,-0.01761685311794281
2,max_mean_ratio,0.0012613932291666667,0.00016276041666666666,0.0010986328125
4,mean,0.0030857046813252964,0.00023102345080872055,0.002854681230516576
4,max_mean,0.15891629457473755,0.15553122758865356,0.0033850669860839844
4,max_mean_ratio,0.0011800130208333333,0.0,0.0011800130208333333
8,mean,0.002541905531870725,0.0002549648134255733,0.002286940718445152
8,max_mean,0.14319032430648804,0.12971341609954834,0.013476908206939697
8,max_mean_ratio,0.0013020833333333333,0.00028483072916666663,0.0010172526041666665
16,mean,0.002072429503641615,0.0004218432890183976,0.0016505862146232175
16,max_mean,0.13662895560264587,0.12403862923383713,0.012590326368808746
16,max_mean_ratio,0.0013834635416666667,0.00048828125,0.0008951822916666667
